MGEN|20210608121332|1.0|30|7222|RECURRENT
CAISSEAFFILIATION|0102562235|20090209000002|ACT|973|19940901||506||||||||||||||||||||||
CAISSEAFFILIATION|0102816150|20090209000001|ACT|973|20060901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981620|20090209000001|ACT|973|20040901||506||||||||||||||||||||||
CAISSEAFFILIATION|0104981621|20181215053242|ACT|973|20181215|20191031|506||||||||||||||||||||||
CONTRATCOLLECTIF|16000068|1|11598|S6500013|O0004501|FR018701|OF000028|0|SARL NERVURES|20111101|||||||||||||||||||
CONTRATCOLLECTIF|16000069|1|950|S9500010|O0004501|FR018701|OF000028|0|CMPP CHATEAU DU PARC|20090501|||||||||||||||||||
CONTRATCOLLECTIF|16000070|1|6189|S8100027|O0004501|FR018701|OF000028|0|ASEI FOYER D ACCUEIL|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000071|1|222|S7800024|O0004501|FR018701|OF000028|0|EMPRO PLAINE DU MOUL|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000072|1|10449|S9500025|O0004501|FR018701|OF000028|0|PEP 95 AD|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000073|1|10045|S3000025|O0004501|FR018701|OF000028|0|SA CLINIQUE DE QUISS|20080901|||||||||||||||||||
CONTRATCOLLECTIF|16000074|1|627|S1300011|O0004501|FR018701|OF000028|0|LES FRANCAS|20110401|||||||||||||||||||
CONTRATCOLLECTIF|16000075|1|13953|S7500029|O0004501|FR018701|OF000028|0|ARTS ET VIE|20071001|||||||||||||||||||
CONTRATCOLLECTIF|16000076|1|7369|S9100016|O0004501|FR018701|OF000028|0|ASSOCIATION REGIONAL|20130401|||||||||||||||||||
CONTRATCOLLECTIF|16000077|1|7755|S6300030|O0004501|FR018701|OF000028|0|CE ALTERIS|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000078|1|10763|S9500025|O0004501|FR018701|OF000028|0|PEP 95 AD|20120101|||||||||||||||||||
CONTRATCOLLECTIF|16000079|1|2505|S4600003|O0004501|FR018701|OF000028|0|ALGEEI|20081101|||||||||||||||||||
CONTRATCOLLECTIF|16000080|1|10654|S7500305|O0004501|FR018701|OF000028|0|GIP ENFANCE EN DANGE|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000081|1|13225|S6300030|O0004501|FR018701|OF000028|0|CE ALTERIS|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000082|1|5818|S9400089|O0004501|FR018701|OF000028|0|ASSOCIATION CREA|20110101|||||||||||||||||||
CONTRATCOLLECTIF|16000083|1|10683|S7100041|O0004501|FR018701|OF000028|0|L ATELIER DES PEP|20100101|||||||||||||||||||
CONTRATCOLLECTIF|16000084|1|3785|S0700014|O0004501|FR018701|OF000028|0|CRECHE HALTE GARDERI|20080601|||||||||||||||||||
CONTRATCOLLECTIF|16000085|1|15104|S6300033|O0004501|FR018701|OF000028|0|ESAT FOYER ESCOLORE|20111201|||||||||||||||||||
CONTRATCOLLECTIF|16000086|1|6936|S6400004|O0004501|FR018701|OF000028|0|PEP 64|20071201|||||||||||||||||||
